kind,n,m,structure,workload,threads,queries,build_ns,index_bytes,analytic_bytes,scratch_bytes,wall_ns,throughput_qps,p50_ns,p99_ns,chunk,spread,checksum
er,200000,3199860,adjmap,neighbors,1,200000,130703510,28708536,27812168,34216,34871814,5735290.97,87410,128715,512,1.0696,319905782570
er,200000,3199860,adjmap,neighbors,2,200000,130703510,28708536,27812168,68432,17694955,11302656.60,88213,127920,512,1.0379,319905782570
er,200000,3199860,adjmap,neighbors,4,200000,130703510,28708536,27812168,136864,9276944,21558823.68,88009,145281,512,1.0915,319905782570
er,200000,3199860,adjmap,neighbors,1,2000000,130703510,28708536,27812168,34216,352744509,5669826.03,86624,141176,512,1.0373,3200472418397
er,200000,3199860,adjmap,neighbors,2,2000000,130703510,28708536,27812168,68432,183928450,10873793.59,84431,159235,512,1.0746,3200472418397
er,200000,3199860,adjmap,neighbors,4,2000000,130703510,28708536,27812168,136864,90665140,22059194.97,85360,154987,512,1.0561,3200472418397
er,200000,3199860,adjmap,neighbors-batch,1,200000,130703510,28708536,27812168,34216,27695474,7221396.54,67796,110693,512,1.1467,319941116941
er,200000,3199860,adjmap,neighbors-batch,2,200000,130703510,28708536,27812168,68432,13532409,14779334.56,65153,112301,512,1.0767,319941116941
er,200000,3199860,adjmap,neighbors-batch,4,200000,130703510,28708536,27812168,136864,6721468,29755404.62,63768,114999,512,1.1287,319941116941
er,200000,3199860,adjmap,neighbors-batch,1,2000000,130703510,28708536,27812168,34216,285868776,6996217.03,68826,123564,512,1.0620,3200125771375
er,200000,3199860,adjmap,neighbors-batch,2,2000000,130703510,28708536,27812168,68432,130861436,15283341.38,63679,107785,512,1.1371,3200125771375
er,200000,3199860,adjmap,neighbors-batch,4,2000000,130703510,28708536,27812168,136864,68746477,29092399.89,64977,127041,512,1.1882,3200125771375
er,200000,3199860,adjmap,hasedge,1,200000,130703510,28708536,27812168,34216,30253233,6610863.71,293080,441307,2048,1.0298,100008
er,200000,3199860,adjmap,hasedge,2,200000,130703510,28708536,27812168,68432,13849784,14440658.42,273093,431123,2048,1.0511,100008
er,200000,3199860,adjmap,hasedge,4,200000,130703510,28708536,27812168,136864,6947302,28788154.02,269635,409755,2048,1.0382,100008
er,200000,3199860,adjmap,hasedge,1,2000000,130703510,28708536,27812168,34216,270013057,7407049.21,270046,380089,2048,1.1802,1000059
er,200000,3199860,adjmap,hasedge,2,2000000,130703510,28708536,27812168,68432,134252872,14897260.45,265164,350133,2048,1.0646,1000059
