kind,n,m,structure,workload,threads,queries,build_ns,index_bytes,analytic_bytes,scratch_bytes,wall_ns,throughput_qps,p50_ns,p99_ns,chunk,spread,checksum
er,200000,3199860,adjmap,bfs,1,4,111689560,28718240,27812168,988584,183809063,21.76,45804499,47904938,1,1.2411,79999600000
er,200000,3199860,adjmap,bfs,2,4,111689560,28718240,27812168,1977168,111521233,35.87,57660349,64049665,1,1.0404,79999600000
er,200000,3199860,adjmap,bfs,4,4,111689560,28718240,27812168,3954336,51610378,77.50,48327664,51507316,1,1.2113,79999600000
er,200000,3199860,adjmap,bfs,1,16,111689560,28718240,27812168,988584,844908438,18.94,51521318,62580905,1,1.1867,319998400000
er,200000,3199860,adjmap,bfs,2,16,111689560,28718240,27812168,1977168,393994119,40.61,47744890,54458849,1,1.2345,319998400000
er,200000,3199860,adjmap,bfs,4,16,111689560,28718240,27812168,3954336,197722099,80.92,49291684,54602967,1,1.1002,319998400000
er,200000,3199860,adjmap,bfs-batch,1,4,111689560,28718240,27812168,988584,168388864,23.75,41987217,43895870,1,1.1664,79999600000
er,200000,3199860,adjmap,bfs-batch,2,4,111689560,28718240,27812168,1977168,89957312,44.47,44888013,45018754,1,1.0867,79999600000
er,200000,3199860,adjmap,bfs-batch,4,4,111689560,28718240,27812168,3954336,43743002,91.44,43393824,43433954,1,1.4518,79999600000
er,200000,3199860,adjmap,bfs-batch,1,16,111689560,28718240,27812168,988584,683838086,23.40,43481315,46048625,1,1.1713,319998400000
er,200000,3199860,adjmap,bfs-batch,2,16,111689560,28718240,27812168,1977168,335309463,47.72,40351218,58722223,1,1.0989,319998400000
er,200000,3199860,adjmap,bfs-batch,4,16,111689560,28718240,27812168,3954336,157407072,101.65,37036989,41750101,1,1.1466,319998400000
er,200000,3199860,adjlist,bfs,1,4,39567130,23012864,23012192,988584,120919643,33.08,29894652,31273051,1,1.1978,79999600000
er,200000,3199860,adjlist,bfs,2,4,39567130,23012864,23012192,1977168,61715122,64.81,31132284,31886783,1,1.2265,79999600000
er,200000,3199860,adjlist,bfs,4,4,39567130,23012864,23012192,3954336,36441562,109.76,35991843,36053230,1,1.1753,79999600000
er,200000,3199860,adjlist,bfs,1,16,39567130,23012864,23012192,988584,526233052,30.40,32390381,37035056,1,1.1579,319998400000
er,200000,3199860,adjlist,bfs,2,16,39567130,23012864,23012192,1977168,260701226,61.37,31055089,43782845,1,1.1115,319998400000
er,200000,3199860,adjlist,bfs,4,16,39567130,23012864,23012192,3954336,137132764,116.68,33350116,39852005,1,1.1893,319998400000
er,200000,3199860,adjlist,bfs-batch,1,4,39567130,23012864,23012192,988584,104479804,38.28,27071340,28373671,1,1.1277,79999600000
er,200000,3199860,adjlist,bfs-batch,2,4,39567130,23012864,23012192,1977168,46976145,85.15,23377216,24401334,1,1.1244,79999600000
er,200000,3199860,adjlist,bfs-batch,4,4,39567130,23012864,23012192,3954336,23492450,170.27,22353956,23438444,1,1.4587,79999600000
er,200000,3199860,adjlist,bfs-batch,1,16,39567130,23012864,23012192,988584,375907013,42.56,23638969,26085468,1,1.1070,319998400000
er,200000,3199860,adjlist,bfs-batch,2,16,39567130,23012864,23012192,1977168,185331398,86.33,22200016,25994273,1,1.1105,319998400000
er,200000,3199860,adjlist,bfs-batch,4,16,39567130,23012864,23012192,3954336,96315174,166.12,24245329,25742010,1,1.1009,319998400000
er,200000,3199860,adjlist-exact,bfs,1,4,32573946,18790976,17599464,988584,122146472,32.75,31492956,31846280,1,1.0431,79999600000
er,200000,3199860,adjlist-exact,bfs,2,4,32573946,18790976,17599464,1977168,63360368,63.13,31257815,32045407,1,1.2142,79999600000
er,200000,3199860,adjlist-exact,bfs,4,4,32573946,18790976,17599464,3954336,37087038,107.85,34983588,36780645,1,1.1294,79999600000
er,200000,3199860,adjlist-exact,bfs,1,16,32573946,18790976,17599464,988584,514114639,31.12,31645937,36349284,1,1.1283,319998400000
er,200000,3199860,adjlist-exact,bfs,2,16,32573946,18790976,17599464,1977168,273298541,58.54,33026760,37150751,1,1.0727,319998400000
er,200000,3199860,adjlist-exact,bfs,4,16,32573946,18790976,17599464,3954336,147619734,108.39,33086234,39706208,1,1.0943,319998400000
er,200000,3199860,adjlist-exact,bfs-batch,1,4,32573946,18790976,17599464,988584,79449348,50.35,20309631,20467086,1,1.1031,79999600000
er,200000,3199860,adjlist-exact,bfs-batch,2,4,32573946,18790976,17599464,1977168,41934585,95.39,20872520,21158257,1,1.3117,79999600000
er,200000,3199860,adjlist-exact,bfs-batch,4,4,32573946,18790976,17599464,3954336,30329298,131.89,25821061,30246397,1,1.3946,79999600000
er,200000,3199860,adjlist-exact,bfs-batch,1,16,32573946,18790976,17599464,988584,370795898,43.15,23539502,25960016,1,1.1591,319998400000
er,200000,3199860,adjlist-exact,bfs-batch,2,16,32573946,18790976,17599464,1977168,179317697,89.23,21330725,24906774,1,1.2025,319998400000
er,200000,3199860,adjlist-exact,bfs-batch,4,16,32573946,18790976,17599464,3954336,87179664,183.53,21056514,25378170,1,1.2503,319998400000
er,200000,3199860,csr,bfs,1,4,23336982,13606960,13599492,988584,115524419,34.62,28893166,29783253,1,1.1716,79999600000
er,200000,3199860,csr,bfs,2,4,23336982,13606960,13599492,1977168,57826004,69.17,28504231,29267258,1,1.0467,79999600000
er,200000,3199860,csr,bfs,4,4,23336982,13606960,13599492,3954336,28709318,139.33,25374437,28653365,1,1.1085,79999600000
er,200000,3199860,csr,bfs,1,16,23336982,13606960,13599492,988584,421511491,37.96,27390867,30141275,1,1.2052,319998400000
er,200000,3199860,csr,bfs,2,16,23336982,13606960,13599492,1977168,195118676,82.00,24042307,25512561,1,1.1376,319998400000
er,200000,3199860,csr,bfs,4,16,23336982,13606960,13599492,3954336,112605056,142.09,26877776,30269336,1,1.1244,319998400000
er,200000,3199860,csr,bfs-batch,1,4,23336982,13606960,13599492,988584,65809944,60.78,16295877,17105899,1,1.0855,79999600000
er,200000,3199860,csr,bfs-batch,2,4,23336982,13606960,13599492,1977168,35333061,113.21,17224576,18390810,1,1.3003,79999600000
er,200000,3199860,csr,bfs-batch,4,4,23336982,13606960,13599492,3954336,22451467,178.16,22094029,22108959,1,1.4514,79999600000
er,200000,3199860,csr,bfs-batch,1,16,23336982,13606960,13599492,988584,269425521,59.39,16840925,17812154,1,1.1104,319998400000
er,200000,3199860,csr,bfs-batch,2,16,23336982,13606960,13599492,1977168,154632833,103.47,18653746,21149863,1,1.1748,319998400000
er,200000,3199860,csr,bfs-batch,4,16,23336982,13606960,13599492,3954336,73928799,216.42,17732337,21116338,1,1.2107,319998400000
er,200000,3199860,csr-slices,bfs,1,4,26972336,17604656,17599488,988584,135887275,29.44,33920665,34728206,1,1.2545,79999600000
er,200000,3199860,csr-slices,bfs,2,4,26972336,17604656,17599488,1977168,68920268,58.04,34188950,34688613,1,1.0795,79999600000
er,200000,3199860,csr-slices,bfs,4,4,26972336,17604656,17599488,3954336,36698336,109.00,35067586,36640637,1,1.1059,79999600000
er,200000,3199860,csr-slices,bfs,1,16,26972336,17604656,17599488,988584,492341900,32.50,31155772,33615420,1,1.0830,319998400000
er,200000,3199860,csr-slices,bfs,2,16,26972336,17604656,17599488,1977168,262689178,60.91,30189457,39579428,1,1.0567,319998400000
er,200000,3199860,csr-slices,bfs,4,16,26972336,17604656,17599488,3954336,143455181,111.53,34485867,37746482,1,1.1077,319998400000
er,200000,3199860,csr-slices,bfs-batch,1,4,26972336,17604656,17599488,988584,93873615,42.61,23828056,25132538,1,1.1742,79999600000
er,200000,3199860,csr-slices,bfs-batch,2,4,26972336,17604656,17599488,1977168,46672428,85.70,23468521,23597160,1,1.0909,79999600000
er,200000,3199860,csr-slices,bfs-batch,4,4,26972336,17604656,17599488,3954336,24822148,161.15,23285808,24682846,1,1.5162,79999600000
er,200000,3199860,csr-slices,bfs-batch,1,16,26972336,17604656,17599488,988584,340555643,46.98,20366195,24410841,1,1.1263,319998400000
er,200000,3199860,csr-slices,bfs-batch,2,16,26972336,17604656,17599488,1977168,168001175,95.24,19676352,27247513,1,1.1649,319998400000
er,200000,3199860,csr-slices,bfs-batch,4,16,26972336,17604656,17599488,3954336,93031619,171.98,22176851,24915671,1,1.1564,319998400000
er,200000,3199860,edgelist,bfs,1,4,21498579,25600032,25598904,988584,318608579,12.55,80408175,81746533,1,1.1460,79999600000
er,200000,3199860,edgelist,bfs,2,4,21498579,25600032,25598904,1977168,174819151,22.88,86897391,87843792,1,1.0904,79999600000
er,200000,3199860,edgelist,bfs,4,4,21498579,25600032,25598904,3954336,90995862,43.96,89893558,90943470,1,1.1720,79999600000
er,200000,3199860,edgelist,bfs,1,16,21498579,25600032,25598904,988584,1326628197,12.06,82693645,93588115,1,1.0636,319998400000
er,200000,3199860,edgelist,bfs,2,16,21498579,25600032,25598904,1977168,683000897,23.43,84686171,89547438,1,1.0870,319998400000
er,200000,3199860,edgelist,bfs,4,16,21498579,25600032,25598904,3954336,348163488,45.96,86502855,90258888,1,1.1427,319998400000
er,200000,3199860,edgelist,bfs-batch,1,4,21498579,25600032,25598904,988584,357346136,11.19,89323204,90238398,1,1.0184,79999600000
er,200000,3199860,edgelist,bfs-batch,2,4,21498579,25600032,25598904,1977168,172758343,23.15,84125679,88575673,1,1.0795,79999600000
er,200000,3199860,edgelist,bfs-batch,4,4,21498579,25600032,25598904,3954336,88317228,45.29,85480536,88255209,1,1.0786,79999600000
er,200000,3199860,edgelist,bfs-batch,1,16,21498579,25600032,25598904,988584,1328318391,12.05,81704780,95991743,1,1.0800,319998400000
er,200000,3199860,edgelist,bfs-batch,2,16,21498579,25600032,25598904,1977168,686977698,23.29,86043677,97268799,1,1.0923,319998400000
er,200000,3199860,edgelist,bfs-batch,4,16,21498579,25600032,25598904,3954336,349391553,45.79,82270314,98664174,1,1.1014,319998400000
er,200000,3199860,varint-csr,bfs,1,4,74167149,9306176,9303348,988584,190819203,20.96,47183542,49391942,1,1.0235,79999600000
er,200000,3199860,varint-csr,bfs,2,4,74167149,9306176,9303348,1977168,99845970,40.06,49104718,51646120,1,1.0567,79999600000
er,200000,3199860,varint-csr,bfs,4,4,74167149,9306176,9303348,3954336,47425321,84.34,47137504,47343729,1,1.3169,79999600000
er,200000,3199860,varint-csr,bfs,1,16,74167149,9306176,9303348,988584,734569987,21.78,46103967,50530185,1,1.1160,319998400000
er,200000,3199860,varint-csr,bfs,2,16,74167149,9306176,9303348,1977168,365893055,43.73,43156651,54808710,1,1.1610,319998400000
er,200000,3199860,varint-csr,bfs,4,16,74167149,9306176,9303348,3954336,185239965,86.37,45799920,49513516,1,1.1638,319998400000
er,200000,3199860,varint-csr,bfs-batch,1,4,74167149,9306176,9303348,988584,170898425,23.41,43291970,44824367,1,1.2158,79999600000
er,200000,3199860,varint-csr,bfs-batch,2,4,74167149,9306176,9303348,1977168,90155781,44.37,44451103,45564472,1,1.0755,79999600000
er,200000,3199860,varint-csr,bfs-batch,4,4,74167149,9306176,9303348,3954336,50261215,79.58,49624288,50222384,1,1.0512,79999600000
er,200000,3199860,varint-csr,bfs-batch,1,16,74167149,9306176,9303348,988584,687214910,23.28,42193491,46870272,1,1.1847,319998400000
er,200000,3199860,varint-csr,bfs-batch,2,16,74167149,9306176,9303348,1977168,366546468,43.65,43726427,51106763,1,1.0709,319998400000
er,200000,3199860,varint-csr,bfs-batch,4,16,74167149,9306176,9303348,3954336,193457311,82.71,47286189,51484698,1,1.1677,319998400000
er,200000,3199860,hybrid,bfs,1,4,51904528,14437136,14424564,988584,112498393,35.56,27891368,30072456,1,1.0887,79999600000
er,200000,3199860,hybrid,bfs,2,4,51904528,14437136,14424564,1977168,56782549,70.44,28726784,29354618,1,1.0615,79999600000
er,200000,3199860,hybrid,bfs,4,4,51904528,14437136,14424564,3954336,28694536,139.40,27957638,28654481,1,1.1201,79999600000
er,200000,3199860,hybrid,bfs,1,16,51904528,14437136,14424564,988584,397421712,40.26,24671407,27533044,1,1.1124,319998400000
er,200000,3199860,hybrid,bfs,2,16,51904528,14437136,14424564,1977168,204166655,78.37,25125612,27907956,1,1.0969,319998400000
er,200000,3199860,hybrid,bfs,4,16,51904528,14437136,14424564,3954336,113762085,140.64,27117755,29365275,1,1.1131,319998400000
