kind,n,m,structure,workload,threads,queries,build_ns,index_bytes,analytic_bytes,scratch_bytes,wall_ns,throughput_qps,p50_ns,p99_ns,chunk,spread,checksum
er,20000,319858,adjmap,neighbors,1,10000,10812857,3133496,2781408,11720,867462,11527882.49,41492,72902,512,1.0666,1601857802
er,20000,319858,adjmap,neighbors,2,10000,10812857,3133496,2781408,23440,475570,21027398.70,47377,83046,512,1.5940,1601857802
er,20000,319858,adjmap,neighbors,4,10000,10812857,3133496,2781408,46880,258677,38658249.48,36442,58052,512,1.4249,1601857802
er,20000,319858,adjmap,neighbors,1,500000,10812857,3133496,2781408,11720,44679683,11190768.74,43189,80544,512,2.1061,79995350513
er,20000,319858,adjmap,neighbors,2,500000,10812857,3133496,2781408,23440,22221034,22501203.14,43100,78655,512,1.3025,79995350513
er,20000,319858,adjmap,neighbors,4,500000,10812857,3133496,2781408,46880,11107691,45013855.71,41819,79974,512,1.0906,79995350513
er,20000,319858,adjmap,neighbors-batch,1,10000,10812857,3133496,2781408,11720,607525,16460227.97,29885,37404,512,1.1169,1600951307
er,20000,319858,adjmap,neighbors-batch,2,10000,10812857,3133496,2781408,23440,293786,34038381.68,25619,34999,512,1.4149,1600951307
er,20000,319858,adjmap,neighbors-batch,4,10000,10812857,3133496,2781408,46880,216203,46252827.20,29162,50675,512,1.7128,1600951307
er,20000,319858,adjmap,neighbors-batch,1,500000,10812857,3133496,2781408,11720,33181690,15068551.36,31936,68007,512,1.0782,79982830511
er,20000,319858,adjmap,neighbors-batch,2,500000,10812857,3133496,2781408,23440,17139509,29172364.27,32582,63348,512,1.2339,79982830511
er,20000,319858,adjmap,neighbors-batch,4,500000,10812857,3133496,2781408,46880,8551065,58472248.78,31206,68408,512,1.1200,79982830511
er,20000,319858,adjmap,hasedge,1,10000,10812857,3133496,2781408,11720,884198,11309684.03,170873,207440,2048,1.0618,5001
er,20000,319858,adjmap,hasedge,2,10000,10812857,3133496,2781408,23440,432764,23107282.49,144984,156764,2048,1.1966,5001
er,20000,319858,adjmap,hasedge,4,10000,10812857,3133496,2781408,46880,314290,31817747.94,156415,217934,2048,1.3281,5001
er,20000,319858,adjmap,hasedge,1,500000,10812857,3133496,2781408,11720,35603883,14043412.06,140222,202718,2048,1.0690,250202
er,20000,319858,adjmap,hasedge,2,500000,10812857,3133496,2781408,23440,19408610,25761762.43,160291,231990,2048,1.0359,250202
er,20000,319858,adjmap,hasedge,4,500000,10812857,3133496,2781408,46880,10027293,49863906.44,159126,223746,2048,1.0351,250202
er,20000,319858,adjlist,neighbors,1,10000,3893000,2310064,2301432,11720,495434,20184323.24,24599,27239,512,1.3141,1601857802
er,20000,319858,adjlist,neighbors,2,10000,3893000,2310064,2301432,23440,698760,14311065.32,32403,44382,512,1.1248,1601857802
er,20000,319858,adjlist,neighbors,4,10000,3893000,2310064,2301432,46880,403546,24780322.44,36925,49050,512,1.2880,1601857802
er,20000,319858,adjlist,neighbors,1,500000,3893000,2310064,2301432,11720,33354150,14990638.35,31161,69836,512,1.1049,79995350513
er,20000,319858,adjlist,neighbors,2,500000,3893000,2310064,2301432,23440,19137863,26126219.00,36113,77255,512,1.3164,79995350513
er,20000,319858,adjlist,neighbors,4,500000,3893000,2310064,2301432,46880,10122094,49396893.57,36298,88810,512,1.1257,79995350513
er,20000,319858,adjlist,neighbors-batch,1,10000,3893000,2310064,2301432,11720,371673,26905371.12,18283,20905,512,1.2592,1600951307
er,20000,319858,adjlist,neighbors-batch,2,10000,3893000,2310064,2301432,23440,217230,46034157.34,18311,25415,512,1.5541,1600951307
er,20000,319858,adjlist,neighbors-batch,4,10000,3893000,2310064,2301432,46880,156336,63964793.78,22828,31085,512,1.8226,1600951307
er,20000,319858,adjlist,neighbors-batch,1,500000,3893000,2310064,2301432,11720,18774587,26631744.28,17589,46400,512,1.3257,79982830511
er,20000,319858,adjlist,neighbors-batch,2,500000,3893000,2310064,2301432,23440,9636914,51883829.20,18499,49360,512,1.0258,79982830511
er,20000,319858,adjlist,neighbors-batch,4,500000,3893000,2310064,2301432,46880,6230105,80255469.21,23303,66551,512,1.3321,79982830511
