kind,n,m,structure,workload,threads,queries,build_ns,index_bytes,analytic_bytes,scratch_bytes,wall_ns,throughput_qps,p50_ns,p99_ns,chunk,spread,checksum
er,20000,319858,adjmap,bfs,1,64,10099965,3137984,2781408,97736,181652636,352.32,2772747,4094856,1,1.4089,12799360000
er,20000,319858,adjmap,bfs,2,64,10099965,3137984,2781408,195472,88798616,720.73,2716990,3207397,1,1.0385,12799360000
er,20000,319858,adjmap,bfs,4,64,10099965,3137984,2781408,390944,45936051,1393.24,2680331,5098912,1,1.0776,12799360000
er,20000,319858,adjmap,bfs,1,512,10099965,3137984,2781408,97736,1279865764,400.04,2430996,4027583,1,1.1900,102394880000
er,20000,319858,adjmap,bfs,2,512,10099965,3137984,2781408,195472,725303758,705.91,2690034,4432686,1,1.0613,102394880000
er,20000,319858,adjmap,bfs,4,512,10099965,3137984,2781408,390944,357760278,1431.13,2756342,4018552,1,1.1621,102394880000
er,20000,319858,adjmap,bfs-batch,1,64,10099965,3137984,2781408,97736,128197811,499.23,1972175,2415093,1,1.1799,12799360000
er,20000,319858,adjmap,bfs-batch,2,64,10099965,3137984,2781408,195472,68502330,934.27,2126404,2445446,1,1.1455,12799360000
er,20000,319858,adjmap,bfs-batch,4,64,10099965,3137984,2781408,390944,38195156,1675.61,2248602,3114160,1,1.0985,12799360000
er,20000,319858,adjmap,bfs-batch,1,512,10099965,3137984,2781408,97736,1028463833,497.83,1973555,2404768,1,1.2093,102394880000
er,20000,319858,adjmap,bfs-batch,2,512,10099965,3137984,2781408,195472,551402032,928.54,2123415,3080587,1,1.0565,102394880000
er,20000,319858,adjmap,bfs-batch,4,512,10099965,3137984,2781408,390944,285201503,1795.22,2161334,3734231,1,1.1166,102394880000
er,20000,319858,adjmap,dfs,1,64,10099965,3137984,2781408,699848,226408884,282.67,3493342,5754523,1,1.0301,12799360000
er,20000,319858,adjmap,dfs,2,64,10099965,3137984,2781408,1399696,100957011,633.93,3046966,5139766,1,1.1062,12799360000
er,20000,319858,adjmap,dfs,4,64,10099965,3137984,2781408,2799392,56939767,1123.99,3317942,7965853,1,1.2927,12799360000
er,20000,319858,adjmap,dfs,1,512,10099965,3137984,2781408,699848,1666785821,307.18,3120848,4324686,1,1.1461,102394880000
er,20000,319858,adjmap,dfs,2,512,10099965,3137984,2781408,1399696,793374439,645.34,3035012,4252262,1,1.1226,102394880000
er,20000,319858,adjmap,dfs,4,512,10099965,3137984,2781408,2799392,440124252,1163.31,3266107,6821891,1,1.0768,102394880000
er,20000,319858,adjlist,bfs,1,64,6478861,2304800,2301432,97736,123465804,518.36,1910910,2739955,1,1.2575,12799360000
er,20000,319858,adjlist,bfs,2,64,6478861,2304800,2301432,195472,60941631,1050.19,1867716,2477027,1,1.1042,12799360000
er,20000,319858,adjlist,bfs,4,64,6478861,2304800,2301432,390944,33288160,1922.61,1868527,3627035,1,1.2044,12799360000
er,20000,319858,adjlist,bfs,1,512,6478861,2304800,2301432,97736,1006762843,508.56,1905127,3078535,1,1.0725,102394880000
er,20000,319858,adjlist,bfs,2,512,6478861,2304800,2301432,195472,471499230,1085.90,1756385,3226827,1,1.1871,102394880000
er,20000,319858,adjlist,bfs,4,512,6478861,2304800,2301432,390944,231178140,2214.74,1752813,2675801,1,1.0516,102394880000
er,20000,319858,adjlist,bfs-batch,1,64,6478861,2304800,2301432,97736,81541861,784.87,1239427,1749855,1,1.1069,12799360000
er,20000,319858,adjlist,bfs-batch,2,64,6478861,2304800,2301432,195472,40590946,1576.71,1259519,1647359,1,1.0851,12799360000
er,20000,319858,adjlist,bfs-batch,4,64,6478861,2304800,2301432,390944,21124073,3029.72,1211778,2092533,1,1.1359,12799360000
er,20000,319858,adjlist,bfs-batch,1,512,6478861,2304800,2301432,97736,568791003,900.15,1090419,1359574,1,1.2614,102394880000
er,20000,319858,adjlist,bfs-batch,2,512,6478861,2304800,2301432,195472,338765720,1511.37,1288586,2470177,1,1.1188,102394880000
er,20000,319858,adjlist,bfs-batch,4,512,6478861,2304800,2301432,390944,166311613,3078.56,1243185,2125254,1,1.1934,102394880000
er,20000,319858,adjlist,dfs,1,64,6478861,2304800,2301432,699848,155795009,410.80,2359893,4443665,1,1.3101,12799360000
er,20000,319858,adjlist,dfs,2,64,6478861,2304800,2301432,1399696,84898428,753.84,2603368,6167233,1,1.2095,12799360000
er,20000,319858,adjlist,dfs,4,64,6478861,2304800,2301432,2799392,45339712,1411.57,2537977,5542621,1,1.1271,12799360000
er,20000,319858,adjlist,dfs,1,512,6478861,2304800,2301432,699848,1197903299,427.41,2279405,3204857,1,1.1356,102394880000
er,20000,319858,adjlist,dfs,2,512,6478861,2304800,2301432,1399696,621363435,823.99,2333699,3722498,1,1.1442,102394880000
er,20000,319858,adjlist,dfs,4,512,6478861,2304800,2301432,2799392,322183833,1589.15,2440050,3963824,1,1.0417,102394880000
er,20000,319858,adjlist-exact,bfs,1,64,4297096,1883096,1759456,97736,89081612,718.44,1374583,1724231,1,1.1133,12799360000
er,20000,319858,adjlist-exact,bfs,2,64,4297096,1883096,1759456,195472,49045868,1304.90,1428436,3248157,1,1.1432,12799360000
er,20000,319858,adjlist-exact,bfs,4,64,4297096,1883096,1759456,390944,24687075,2592.45,1450008,2161235,1,1.0848,12799360000
er,20000,319858,adjlist-exact,bfs,1,512,4297096,1883096,1759456,97736,804833230,636.16,1500728,2732709,1,1.0967,102394880000
er,20000,319858,adjlist-exact,bfs,2,512,4297096,1883096,1759456,195472,351851369,1455.16,1344114,2061704,1,1.2549,102394880000
er,20000,319858,adjlist-exact,bfs,4,512,4297096,1883096,1759456,390944,192902257,2654.19,1419408,2895325,1,1.1609,102394880000
er,20000,319858,adjlist-exact,bfs-batch,1,64,4297096,1883096,1759456,97736,75046480,852.80,1152900,1483367,1,1.0802,12799360000
er,20000,319858,adjlist-exact,bfs-batch,2,64,4297096,1883096,1759456,195472,37196849,1720.58,1139655,1447677,1,1.2942,12799360000
er,20000,319858,adjlist-exact,bfs-batch,4,64,4297096,1883096,1759456,390944,20403110,3136.78,1215626,1555052,1,1.0696,12799360000
er,20000,319858,adjlist-exact,bfs-batch,1,512,4297096,1883096,1759456,97736,598681928,855.21,1154569,1633840,1,1.1429,102394880000
er,20000,319858,adjlist-exact,bfs-batch,2,512,4297096,1883096,1759456,195472,307103267,1667.19,1168790,1585611,1,1.0474,102394880000
er,20000,319858,adjlist-exact,bfs-batch,4,512,4297096,1883096,1759456,390944,155002479,3303.17,1170961,1772853,1,1.2450,102394880000
er,20000,319858,adjlist-exact,dfs,1,64,4297096,1883096,1759456,699848,143629182,445.59,2251481,3809159,1,1.2099,12799360000
er,20000,319858,adjlist-exact,dfs,2,64,4297096,1883096,1759456,1399696,70186121,911.86,2116391,3642218,1,1.0592,12799360000
er,20000,319858,adjlist-exact,dfs,4,64,4297096,1883096,1759456,2799392,35181572,1819.13,1995863,4472249,1,1.0764,12799360000
er,20000,319858,adjlist-exact,dfs,1,512,4297096,1883096,1759456,699848,1126653813,454.44,2176581,2916035,1,1.0761,102394880000
er,20000,319858,adjlist-exact,dfs,2,512,4297096,1883096,1759456,1399696,569860668,898.47,2213822,2793998,1,1.0374,102394880000
er,20000,319858,adjlist-exact,dfs,4,512,4297096,1883096,1759456,2799392,285438326,1793.73,2108261,4039929,1,1.0790,102394880000
er,20000,319858,csr,bfs,1,64,2576979,1368112,1359484,97736,59840944,1069.50,921026,1401764,1,1.3344,12799360000
er,20000,319858,csr,bfs,2,64,2576979,1368112,1359484,195472,36668313,1745.38,1119070,1661976,1,1.0307,12799360000
er,20000,319858,csr,bfs,4,64,2576979,1368112,1359484,390944,17652336,3625.58,1099630,1409149,1,1.2585,12799360000
er,20000,319858,csr,bfs,1,512,2576979,1368112,1359484,97736,536998836,953.45,1023492,1511798,1,1.3184,102394880000
er,20000,319858,csr,bfs,2,512,2576979,1368112,1359484,195472,283017606,1809.07,1099907,1681506,1,1.3330,102394880000
er,20000,319858,csr,bfs,4,512,2576979,1368112,1359484,390944,152496434,3357.46,1139523,2359418,1,1.1774,102394880000
er,20000,319858,csr,bfs-batch,1,64,2576979,1368112,1359484,97736,61651719,1038.09,939889,1293484,1,1.1003,12799360000
er,20000,319858,csr,bfs-batch,2,64,2576979,1368112,1359484,195472,27807286,2301.56,801088,1352831,1,1.2809,12799360000
er,20000,319858,csr,bfs-batch,4,64,2576979,1368112,1359484,390944,16086634,3978.46,931008,1584915,1,1.1271,12799360000
er,20000,319858,csr,bfs-batch,1,512,2576979,1368112,1359484,97736,504030128,1015.81,957683,1235562,1,1.0512,102394880000
er,20000,319858,csr,bfs-batch,2,512,2576979,1368112,1359484,195472,244041289,2098.01,916109,1693321,1,1.3090,102394880000
er,20000,319858,csr,bfs-batch,4,512,2576979,1368112,1359484,390944,113342819,4517.27,856897,1287182,1,1.0975,102394880000
er,20000,319858,csr,dfs,1,64,2576979,1368112,1359484,699848,109220878,585.97,1651050,2624639,1,1.1854,12799360000
er,20000,319858,csr,dfs,2,64,2576979,1368112,1359484,1399696,64566777,991.22,1850058,3820572,1,1.1714,12799360000
er,20000,319858,csr,dfs,4,64,2576979,1368112,1359484,2799392,30392911,2105.75,1744994,3985209,1,1.1865,12799360000
er,20000,319858,csr,dfs,1,512,2576979,1368112,1359484,699848,880279106,581.63,1708707,2296863,1,1.1553,102394880000
er,20000,319858,csr,dfs,2,512,2576979,1368112,1359484,1399696,434154646,1179.30,1669934,2062383,1,1.1103,102394880000
er,20000,319858,csr,dfs,4,512,2576979,1368112,1359484,2799392,236124240,2168.35,1794234,4172351,1,1.1324,102394880000
er,20000,319858,csr-slices,bfs,1,64,3371373,1769520,1759480,97736,93615645,683.65,1431523,2405906,1,1.5093,12799360000
er,20000,319858,csr-slices,bfs,2,64,3371373,1769520,1759480,195472,45970368,1392.20,1372141,2072666,1,1.1357,12799360000
er,20000,319858,csr-slices,bfs,4,64,3371373,1769520,1759480,390944,25982450,2463.20,1509797,2259744,1,1.4691,12799360000
er,20000,319858,csr-slices,bfs,1,512,3371373,1769520,1759480,97736,697302449,734.26,1330185,1825927,1,1.1719,102394880000
er,20000,319858,csr-slices,bfs,2,512,3371373,1769520,1759480,195472,376007021,1361.68,1425504,2582711,1,1.0802,102394880000
er,20000,319858,csr-slices,bfs,4,512,3371373,1769520,1759480,390944,200748336,2550.46,1466232,3211527,1,1.1153,102394880000
er,20000,319858,csr-slices,bfs-batch,1,64,3371373,1769520,1759480,97736,71595882,893.91,1101207,1552507,1,2.0121,12799360000
er,20000,319858,csr-slices,bfs-batch,2,64,3371373,1769520,1759480,195472,39487821,1620.75,1180238,1737114,1,1.1174,12799360000
er,20000,319858,csr-slices,bfs-batch,4,64,3371373,1769520,1759480,390944,20229833,3163.64,1170539,1683840,1,1.2264,12799360000
er,20000,319858,csr-slices,bfs-batch,1,512,3371373,1769520,1759480,97736,542285488,944.15,1013161,1964809,1,1.2108,102394880000
er,20000,319858,csr-slices,bfs-batch,2,512,3371373,1769520,1759480,195472,313070897,1635.41,1131122,2376956,1,1.1118,102394880000
er,20000,319858,csr-slices,bfs-batch,4,512,3371373,1769520,1759480,390944,152493461,3357.52,1092697,2249715,1,1.1381,102394880000
er,20000,319858,csr-slices,dfs,1,64,3371373,1769520,1759480,699848,138029577,463.67,2063690,4555841,1,1.0491,12799360000
er,20000,319858,csr-slices,dfs,2,64,3371373,1769520,1759480,1399696,69389101,922.34,2085571,3909160,1,1.3069,12799360000
er,20000,319858,csr-slices,dfs,4,64,3371373,1769520,1759480,2799392,36532567,1751.86,2084172,5265996,1,1.1044,12799360000
er,20000,319858,csr-slices,dfs,1,512,3371373,1769520,1759480,699848,1025748266,499.15,1967795,2881317,1,1.0975,102394880000
er,20000,319858,csr-slices,dfs,2,512,3371373,1769520,1759480,1399696,510441651,1003.05,2008266,3524247,1,1.0848,102394880000
er,20000,319858,csr-slices,dfs,4,512,3371373,1769520,1759480,2799392,270709394,1891.33,2051083,3134701,1,1.1351,102394880000
er,20000,319858,edgelist,bfs,1,64,1560750,2564128,2558888,97736,272970321,234.46,4252000,4786503,1,1.1821,12799360000
er,20000,319858,edgelist,bfs,2,64,1560750,2564128,2558888,195472,139232076,459.66,4232900,6544261,1,1.0711,12799360000
er,20000,319858,edgelist,bfs,4,64,1560750,2564128,2558888,390944,72112403,887.50,4293714,5412982,1,1.2077,12799360000
er,20000,319858,edgelist,bfs,1,512,1560750,2564128,2558888,97736,2024558122,252.89,3903930,4703567,1,1.0949,102394880000
